SequenceLength,PITName,PurificationName,ProcessStep,Duration_In_Mins
34,2,0,2,16
33,2,0,0,437
33,2,0,2,16
36,2,0,0,437
36,2,0,2,16
23,2,0,0,437
23,2,0,1,7
23,2,0,2,16
32,2,0,0,437
32,2,0,2,16
29,2,0,0,437
29,2,0,2,16
39,2,0,0,437
39,2,0,2,16
31,2,0,0,437
31,2,0,2,16
38,2,0,0,437
38,2,0,2,16
46,2,0,0,437
46,2,0,1,7
46,2,0,2,16
37,2,0,0,437
37,2,0,2,16
40,2,0,0,437
40,2,0,2,16
41,2,0,0,437
41,2,0,2,16
45,2,0,0,437
45,2,0,1,7
45,2,0,2,16
28,2,0,0,437
28,2,0,2,16
44,2,0,0,437
44,2,0,1,7
44,2,0,2,16
48,2,0,0,437
48,2,0,2,16
42,2,0,0,437
42,2,0,2,16
43,2,0,0,437
43,2,0,2,16
35,2,0,0,437
35,2,0,2,16
43,1,0,0,267
43,1,0,1,24
40,1,0,0,267
40,1,0,1,24
44,1,0,0,267
44,1,0,1,24
41,1,0,0,267
41,1,0,1,24
47,1,0,0,267
47,1,0,1,24
37,1,0,0,267
37,1,0,1,24
46,1,0,0,267
46,1,0,1,24
48,1,0,0,267
48,1,0,1,24
42,1,0,0,267
42,1,0,1,24
39,1,0,0,267
39,1,0,1,24
32,1,0,0,267
32,1,0,1,24
45,1,0,0,267
45,1,0,1,24
30,1,0,0,267
30,1,0,1,24
33,1,0,0,267
33,1,0,1,24
29,1,0,0,267
29,1,0,1,24
27,1,0,0,267
27,1,0,1,24
31,1,0,0,267
31,1,0,1,24
28,1,0,0,267
28,1,0,1,24
35,1,0,0,267
35,1,0,1,24
36,1,0,0,267
36,1,0,1,24
28,0,0,0,267
28,0,0,1,7
47,0,0,0,267
48,0,0,0,267
31,0,0,0,267
37,0,0,0,267
30,0,0,0,267
30,0,0,1,7
43,0,0,0,267
32,0,0,0,267
46,0,0,0,267
45,0,0,0,267
36,0,0,0,267
42,0,0,0,267
26,0,0,0,267
26,0,0,1,7
35,0,0,0,267
23,0,0,0,267
29,0,0,0,267
44,0,0,0,267
39,0,0,0,267
34,0,0,0,267
25,0,0,0,267
25,0,0,1,7
33,0,0,0,267
38,0,0,0,267
41,0,0,0,267
40,0,0,0,267
38,1,0,0,267
34,1,0,0,267
38,1,0,1,24
34,1,0,1,24
35,1,0,0,473
41,1,0,0,473
42,1,0,0,473
39,1,0,0,473
40,1,0,0,473
36,1,0,0,473
38,1,0,0,473
30,1,0,0,473
37,1,0,0,473
33,1,0,0,473
46,1,0,0,473
45,1,0,0,473
47,1,0,0,473
44,1,0,0,473
48,2,0,1,8
48,2,0,0,473
31,2,0,0,473
28,2,0,0,473
30,2,0,0,473
34,2,0,0,473
35,2,0,0,473
53,2,0,1,8
53,2,0,0,473
33,2,0,0,473
32,2,0,0,473
42,2,0,0,473
46,2,0,1,8
46,2,0,0,473
36,2,0,0,473
29,2,0,0,473
38,2,0,0,473
37,2,0,0,473
27,2,0,1,8
27,2,0,0,473
39,2,0,0,473
48,1,0,0,473
60,1,0,1,7
60,1,0,0,473
43,1,0,0,473
40,1,0,0,489
45,1,0,0,489
47,1,0,0,489
48,1,0,0,489
28,1,0,0,489
38,1,0,0,489
44,1,0,0,489
39,1,0,0,489
41,1,0,0,489
36,1,0,0,489
46,1,0,0,489
33,1,0,0,489
37,1,0,0,489
43,1,0,0,489
42,1,0,0,489
35,1,0,0,489
30,1,0,0,489
34,1,0,0,489
50,1,0,0,489
32,1,0,0,489
31,1,0,0,489
15,1,0,1,7
15,1,0,0,489
52,1,0,1,7
52,1,0,0,489
51,1,0,1,7
51,1,0,0,489
59,1,0,1,7
59,1,0,0,489
49,1,0,1,7
49,1,0,0,489
58,1,0,1,7
58,1,0,0,489
29,1,0,0,489
53,1,0,1,7
53,1,0,0,489
55,1,0,1,7
55,1,0,0,489
57,1,0,1,7
57,1,0,0,489
54,1,0,1,7
54,1,0,0,489
56,1,0,1,7
56,1,0,0,489
59,1,0,1,8
58,1,0,1,8
52,1,0,1,8
54,1,0,1,8
50,1,0,1,8
62,1,0,1,7
62,1,0,0,489
24,0,0,0,446
24,0,0,1,7
45,0,0,0,446
47,0,0,0,446
46,0,0,0,446
54,0,0,0,446
54,0,0,1,7
43,0,0,0,446
35,0,0,0,446
40,0,0,0,446
48,0,0,0,446
38,0,0,0,446
42,0,0,0,446
44,0,0,0,446
38,1,0,0,446
46,1,0,0,446
45,1,0,0,446
37,1,0,0,446
39,1,0,0,446
35,1,0,0,446
34,1,0,0,446
33,1,0,0,446
36,1,0,0,446
25,1,0,0,446
25,1,0,1,8
41,1,0,0,446
40,1,0,0,446
37,2,0,0,446
41,2,0,0,446
48,2,0,0,446
42,2,0,0,446
46,2,0,0,446
40,2,0,0,446
36,2,0,0,446
47,2,0,0,446
47,2,0,1,7
28,2,0,0,446
33,2,0,0,446
29,2,0,0,446
38,2,0,0,446
22,2,0,0,446
22,2,0,1,7
34,2,0,0,446
32,2,0,0,446
45,2,0,0,446
31,2,0,0,446
39,2,0,0,446
43,2,0,0,446
17,2,0,0,446
17,2,0,1,7
19,2,0,0,446
19,2,0,1,7
35,2,0,0,446
30,2,0,0,446
16,2,0,0,446
16,2,0,1,7
18,2,0,0,446
34,1,0,0,453
48,1,0,0,453
42,1,0,0,453
55,1,0,0,453
44,1,0,0,453
30,1,0,0,453
37,1,0,0,453
38,1,0,0,453
47,1,0,0,453
29,1,0,0,453
33,1,0,0,453
41,1,0,0,453
43,1,0,0,453
46,1,0,0,453
45,1,0,0,453
40,1,0,0,453
36,1,0,0,453
27,1,0,0,453
27,1,0,1,7
39,1,0,0,453
31,1,0,0,453
35,1,0,0,453
38,1,0,0,442
44,1,0,0,442
41,1,0,0,442
33,1,0,0,442
31,1,0,0,442
36,1,0,0,442
40,1,0,0,442
35,1,0,0,442
39,1,0,0,442
42,1,0,0,442
45,1,0,0,442
43,1,0,0,442
47,1,0,0,442
34,1,0,0,442
32,1,0,0,442
27,1,0,0,442
30,1,0,0,442
48,1,0,0,442
37,1,0,0,442
29,1,0,0,442
46,1,0,0,442
26,1,0,0,442
50,1,0,0,442
54,1,0,0,442
42,1,0,0,509
47,1,0,0,509
47,1,0,1,9
46,1,0,0,509
40,1,0,0,509
44,1,0,0,509
48,1,0,0,509
41,1,0,0,509
43,1,0,0,509
45,1,0,0,509
50,1,0,0,509
50,1,0,1,9
39,1,0,0,509
64,1,0,0,509
64,1,0,1,9
37,1,0,0,509
33,1,0,0,509
16,1,0,0,509
16,1,0,1,9
35,1,0,0,509
36,1,0,0,509
38,1,0,0,509
49,1,0,0,509
56,1,0,0,509
56,1,0,1,28
40,1,0,1,28
47,1,0,1,28
44,1,0,1,28
37,1,0,1,28
29,1,0,0,509
29,1,0,1,28
45,1,0,1,28
48,1,0,1,28
42,1,0,1,28
46,1,0,1,28
43,1,0,1,28
39,1,0,1,28
38,1,0,1,28
36,1,0,1,28
41,1,0,1,28
35,1,0,1,28
33,1,0,1,28
52,1,0,0,509
52,1,0,1,28
28,1,0,0,509
28,1,0,1,28
32,1,0,0,509
32,1,0,1,28
34,1,0,0,509
34,1,0,1,28
36,1,0,1,10
33,1,0,1,10
43,1,0,1,10
37,1,0,1,10
47,1,0,1,10
39,1,0,1,10
40,1,0,1,10
48,1,0,1,10
42,1,0,1,10
41,1,0,1,10
38,1,0,1,10
21,0,0,0,509
41,0,0,0,509
45,0,0,0,509
45,0,0,1,10
38,0,0,0,509
22,0,0,0,509
22,0,0,1,10
39,0,0,0,509
28,0,0,0,509
28,0,0,1,10
37,0,0,0,509
48,0,0,0,509
32,0,0,0,509
42,0,0,0,509
43,0,0,0,509
31,0,0,0,509
47,0,0,0,509
33,0,0,0,509
40,0,0,0,509
36,0,0,0,509
44,0,0,0,509
34,0,0,0,509
36,0,0,0,427
36,0,0,1,9
36,0,0,2,41
47,0,0,0,427
47,0,0,1,9
47,0,0,2,41
32,0,0,0,427
32,0,0,1,9
32,0,0,2,41
35,0,0,0,427
35,0,0,1,9
35,0,0,2,41
37,0,0,0,427
37,0,0,1,9
37,0,0,2,41
35,0,0,0,509
48,0,0,0,427
48,0,0,1,9
48,0,0,2,41
42,0,0,0,427
42,0,0,1,9
42,0,0,2,41
41,0,0,0,427
41,0,0,1,9
41,0,0,2,41
45,0,0,0,427
45,0,0,1,9
45,0,0,2,41
31,0,0,0,427
31,0,0,1,9
31,0,0,2,41
38,0,0,0,427
38,0,0,1,9
38,0,0,2,41
33,0,0,0,427
33,0,0,1,9
33,0,0,2,41
42,1,0,0,427
44,1,0,0,427
44,1,0,1,10
38,1,0,0,427
52,1,0,0,427
52,1,0,1,10
37,1,0,0,427
36,1,0,0,427
35,1,0,0,427
35,1,0,1,10
39,1,0,0,427
30,1,0,0,427
30,1,0,1,10
45,1,0,0,427
45,1,0,1,10
43,1,0,0,427
33,1,0,0,427
41,1,0,0,427
24,1,0,0,427
